id_nilai,nim,kode_matakuliah,nilai_angka,nilai_huruf
85,240000521,MK07,82.76,B+
86,240001191,MK06,96.41,A
87,240002830,MK06,97.41,C
88,240002876,MK01,60.75,B+
89,240001181,MK03,91.63,B+
90,240003439,MK08,69.18,C
91,240002311,MK06,87.73,C
92,240004260,MK01,66.45,A
93,240001315,MK10,83.81,B
94,240004861,MK09,82.32,A
95,240000644,MK06,82.13,A
96,240000019,MK05,92.67,A
97,240004696,MK02,75.45,B+
98,240002470,MK01,88.73,A
99,240001481,MK05,77.92,B
100,240000592,MK05,72.41,A
101,240002720,MK04,80.81,B
102,240001584,MK04,95.85,C
103,240003527,MK05,74.03,B+
104,240004356,MK02,99.55,A
105,240002952,MK09,98.15,B
106,240002643,MK01,68.97,A
107,240003550,MK01,77.58,C
108,240000112,MK03,73.03,A
109,240001313,MK06,84.98,A
110,240003792,MK05,61.97,B
111,240003748,MK02,73.09,A
112,240002605,MK08,99.21,B+
113,240002282,MK06,93.34,B
114,240003377,MK10,84.11,B+
115,240001479,MK09,89.27,A
116,240003565,MK04,60.54,B
117,240002105,MK02,71.48,B+
118,240003646,MK10,75.81,C
119,240002919,MK09,61.43,B+
120,240002652,MK05,82.62,B
121,240004871,MK07,75.8,B+
122,240003922,MK08,60.19,B+
123,240004524,MK03,91.09,A
124,240003470,MK06,64.86,C
125,240001536,MK05,82.21,B+
126,240000475,MK08,67.14,C
127,240004912,MK06,64.09,A
128,240001474,MK09,70.59,B
129,240003735,MK06,64.23,C
130,240003512,MK07,91.36,C
131,240002098,MK07,64.86,C
132,240004615,MK05,96.42,C
133,240004147,MK02,83.94,C
134,240002074,MK04,80.96,A
135,240000797,MK06,70.29,A
136,240002056,MK02,72.24,B+
137,240002159,MK07,91.05,A
138,240000513,MK09,94.73,B
139,240000166,MK09,60.0,B+
140,240001565,MK09,72.78,B+
141,240003967,MK04,99.67,C
142,240002966,MK07,89.17,C
143,240002491,MK05,82.95,A
144,240004854,MK07,98.15,A
145,240004284,MK10,74.29,B
146,240002398,MK02,86.47,B
147,240000294,MK10,61.23,A
148,240001606,MK01,63.5,A
149,240004100,MK02,95.17,B+
150,240000376,MK10,68.02,B
151,240000998,MK06,95.93,B
152,240003598,MK01,84.24,B
153,240004255,MK06,99.5,A
154,240002244,MK06,85.64,C
155,240001004,MK09,66.65,A
156,240004174,MK10,62.69,A
157,240004667,MK03,67.12,B+
158,240000509,MK05,95.59,A
159,240001719,MK08,75.44,C
160,240004381,MK07,75.12,C
161,240002908,MK01,88.05,C
162,240001590,MK05,95.5,B+
163,240004832,MK07,60.84,A
164,240002251,MK02,81.5,C
165,240003408,MK02,64.63,B
166,240001866,MK04,64.62,C
167,240002826,MK08,71.96,B+
168,240000490,MK03,90.69,B
169,240000328,MK07,72.28,B+
170,240001100,MK05,84.25,B+
171,240000743,MK08,87.74,B
172,240003526,MK09,63.99,B
173,240000652,MK04,90.19,B+
174,240002666,MK06,69.65,B
175,240004143,MK06,63.05,C
176,240002482,MK10,79.57,B
177,240001450,MK10,99.08,B
178,240002816,MK04,85.68,C
179,240003248,MK09,71.55,B
180,240002438,MK08,97.06,A
181,240003966,MK04,95.44,B+
182,240003008,MK02,89.45,B+
183,240001215,MK03,74.94,A
184,240004474,MK03,84.96,B
185,240004001,MK05,86.81,B+
186,240004737,MK02,70.52,B+
187,240000720,MK07,74.24,A
188,240002029,MK07,86.11,B+
189,240001259,MK02,69.8,A
190,240002450,MK05,90.61,B+
191,240003654,MK08,95.47,A
192,240002703,MK08,64.58,B+
193,240004147,MK04,69.83,B
194,240002888,MK06,79.22,B+
195,240000596,MK10,60.9,B
196,240004619,MK01,68.45,C
197,240004743,MK06,80.51,B
198,240004900,MK10,78.66,C
199,240001399,MK06,94.87,A
200,240004512,MK07,61.55,B
201,240001352,MK02,92.46,B
202,240001538,MK10,88.88,C
203,240001084,MK10,91.3,B
204,240000229,MK05,97.09,B+
205,240003186,MK02,66.73,B+
206,240003787,MK06,64.24,B
207,240001125,MK06,94.73,B
208,240003144,MK01,74.32,A
209,240003743,MK03,64.49,A
210,240004337,MK02,76.09,A
211,240002183,MK10,77.32,B
212,240002237,MK04,78.95,B
213,240002313,MK05,69.05,C
214,240003895,MK04,72.79,C
215,240001741,MK08,69.68,A
216,240000188,MK02,70.9,A
217,240003430,MK06,93.61,B
218,240004099,MK07,75.87,A
219,240000837,MK01,83.59,B
220,240003776,MK07,63.98,B+
221,240000230,MK02,77.46,C
222,240002713,MK04,82.18,B+
223,240001684,MK03,73.97,C
224,240002478,MK06,89.25,A
225,240000750,MK05,62.63,A
226,240002042,MK05,75.85,A
227,240001974,MK07,89.24,B+
228,240003409,MK01,70.99,A
229,240003682,MK10,70.09,B+
230,240002828,MK08,77.37,B+
231,240003253,MK01,82.59,B
232,240002578,MK03,76.49,A
233,240004836,MK01,96.44,C
234,240001255,MK10,61.91,B+
235,240004920,MK07,99.8,B
236,240001799,MK03,94.56,A
237,240001721,MK06,63.94,B+
238,240004796,MK04,94.65,A
239,240003052,MK06,96.71,B+
240,240000942,MK02,93.93,A
241,240003215,MK03,72.25,B
242,240000046,MK03,70.53,B+
243,240000008,MK09,76.32,C
244,240001016,MK02,87.98,B
245,240004944,MK06,91.14,B
246,240000660,MK04,95.61,A
247,240003328,MK01,74.5,B+
248,240001019,MK07,75.46,B+
249,240003302,MK03,88.45,A
250,240004928,MK10,91.49,B
251,240003410,MK07,73.37,C
252,240000336,MK10,74.43,A
253,240001759,MK01,89.43,A
254,240003034,MK08,62.83,A
255,240004567,MK05,77.68,C
256,240004958,MK01,77.53,B+
257,240000156,MK09,75.72,B
258,240002037,MK08,63.02,C
259,240001563,MK07,62.43,B
260,240002309,MK06,91.33,B
261,240000888,MK05,89.47,A
262,240001900,MK07,84.09,C
263,240002895,MK01,92.72,B+
264,240004124,MK06,94.23,A
265,240002617,MK09,76.02,B+
266,240002649,MK08,90.6,B
267,240003175,MK08,68.62,A
268,240002590,MK04,86.87,C
269,240001647,MK08,73.24,A
270,240002063,MK09,80.19,B+
271,240001293,MK02,82.84,B+
272,240003263,MK08,62.53,B+
273,240001449,MK05,85.83,A
274,240001716,MK06,86.76,C
275,240000419,MK07,77.66,C
276,240000536,MK02,75.5,B+
277,240000442,MK04,85.53,B+
278,240004683,MK10,64.46,B
279,240000739,MK05,96.33,A
280,240001111,MK06,71.43,B
281,240001620,MK04,83.2,C
282,240003906,MK01,71.52,C
283,240002074,MK03,71.06,B+
284,240004574,MK08,95.64,B+
285,240003508,MK03,95.64,B
286,240002439,MK07,61.04,B
287,240000758,MK01,95.31,B
288,240003506,MK10,87.81,A
289,240003838,MK04,94.1,B+
290,240004151,MK08,98.7,B
291,240003792,MK07,81.28,A
292,240001208,MK09,72.16,B+
293,240002111,MK06,66.49,C
294,240002539,MK01,63.51,A
295,240001774,MK05,98.32,A
296,240003789,MK04,71.38,A
297,240003100,MK08,68.51,B+
298,240004280,MK03,65.51,C
299,240001378,MK03,70.76,B+
300,240003987,MK08,64.03,B
301,240001709,MK03,63.4,B+
302,240001558,MK05,75.2,A
303,240004457,MK08,89.03,B
304,240003279,MK03,91.78,B
305,240004279,MK09,67.9,B+
306,240002891,MK08,96.74,C
307,240000680,MK05,96.92,B+
308,240003505,MK04,73.57,A
309,240003334,MK05,99.66,B+
310,240002261,MK05,64.74,C
311,240003645,MK01,60.56,C
312,240001462,MK03,74.63,B+
313,240004025,MK05,95.18,B
314,240004289,MK10,96.79,B+
315,240000144,MK10,84.12,C
316,240000419,MK09,78.41,B
317,240001271,MK04,84.48,B+
318,240002450,MK01,67.48,A
319,240003774,MK09,69.83,C
320,240001511,MK06,98.71,C
321,240003442,MK09,61.77,B
322,240002200,MK07,92.44,C
323,240000037,MK05,85.94,B
324,240000313,MK06,63.48,B
325,240003195,MK04,88.63,A
326,240003695,MK07,83.85,A
327,240003809,MK01,83.12,A
328,240003657,MK05,91.6,B+
329,240000082,MK09,67.11,B+
330,240003969,MK09,61.13,B
331,240004952,MK10,97.18,A
332,240004345,MK09,97.29,A
333,240004557,MK10,83.18,A
334,240000907,MK03,82.42,A
335,240004918,MK04,90.47,B
336,240004039,MK07,93.62,C
337,240001779,MK05,61.95,B
338,240002428,MK03,79.93,A
339,240002797,MK06,71.83,B+
340,240002159,MK08,98.53,B+
341,240000856,MK07,63.76,A
342,240001870,MK08,90.11,C
343,240000734,MK04,65.13,C
344,240002661,MK07,97.16,A
345,240004770,MK05,78.78,A
346,240003234,MK09,87.25,B+
347,240002131,MK01,98.8,B+
348,240000341,MK06,76.33,A
349,240002983,MK01,66.8,B+
350,240003795,MK06,91.81,B+
351,240000690,MK07,71.01,C
352,240004082,MK07,63.47,A
353,240004744,MK06,77.14,C
354,240004620,MK04,87.07,A
355,240002867,MK02,73.77,A
356,240004085,MK04,72.48,B+
357,240003111,MK06,77.45,B+
358,240000661,MK05,80.22,C
359,240003800,MK04,94.67,C
360,240004845,MK10,60.71,B+
361,240001686,MK05,75.27,A
362,240004711,MK04,71.45,A
363,240002073,MK06,63.81,A
364,240004650,MK04,88.96,B
365,240001431,MK09,94.81,C
366,240000616,MK09,83.56,A
367,240004493,MK05,68.55,B+
368,240003417,MK05,69.45,B+
369,240001564,MK05,90.11,B+
370,240004850,MK08,63.09,B+
371,240000345,MK10,75.47,B+
372,240000302,MK01,83.51,B+
373,240001142,MK05,78.52,A
374,240003116,MK04,88.39,B+
375,240001090,MK05,65.49,A
376,240000700,MK10,81.51,C
377,240003142,MK09,76.71,A
378,240004770,MK06,81.5,A
379,240003139,MK04,62.72,A
380,240000771,MK07,83.15,B
381,240001665,MK07,75.52,C
382,240000609,MK01,79.05,B
383,240001935,MK09,60.41,A
384,240001823,MK03,67.12,C
385,240002954,MK05,64.37,A
386,240002919,MK06,87.75,C
387,240003034,MK01,99.7,B
388,240003848,MK02,65.62,B
389,240001471,MK10,69.43,B+
390,240000685,MK02,85.9,C
391,240000770,MK02,71.89,C
392,240004855,MK05,70.44,A
393,240001256,MK03,75.95,A
394,240000818,MK04,92.34,C
395,240004416,MK10,99.45,B
396,240004289,MK07,69.57,A
397,240002034,MK05,81.75,A
398,240001827,MK04,82.78,B+
399,240000497,MK06,91.93,B+
400,240002922,MK05,78.21,C
401,240001648,MK09,65.77,C
402,240002353,MK02,68.31,A
403,240000303,MK05,62.41,A
404,240001572,MK09,88.82,C
405,240000780,MK04,84.34,B
406,240000737,MK10,79.95,C
407,240001454,MK03,74.25,B+
408,240003889,MK10,67.99,A
409,240003946,MK05,87.64,C
410,240000257,MK08,98.51,B+
411,240002104,MK08,79.77,A
412,240002512,MK02,71.43,B
413,240001388,MK03,97.88,A
414,240000813,MK02,88.08,B+
415,240000178,MK07,60.86,A
416,240002913,MK08,73.53,B+
417,240001762,MK10,79.16,C
418,240001172,MK04,67.39,B
419,240004020,MK04,86.57,B+
420,240000632,MK10,69.63,C
421,240004222,MK07,76.15,C
422,240003529,MK09,98.19,A
423,240002681,MK01,70.14,B
424,240003293,MK02,71.45,A
425,240004989,MK01,60.83,A
426,240004107,MK01,95.69,B+
427,240003568,MK01,99.41,C
428,240004711,MK10,70.53,C
429,240002941,MK05,75.35,B+
430,240000337,MK01,71.85,B+
431,240004995,MK07,67.85,B
432,240001848,MK04,65.98,B+
433,240000806,MK08,84.96,B
434,240002407,MK02,81.53,C
435,240001567,MK04,79.82,B+
436,240000649,MK09,85.93,C
437,240003224,MK09,72.49,B
438,240000629,MK02,84.13,B+
439,240000142,MK02,87.11,C
440,240000766,MK09,91.08,A
441,240002823,MK07,88.25,C
442,240002999,MK06,84.68,B
443,240003547,MK04,95.12,B
444,240002312,MK07,65.25,B+
445,240002443,MK09,66.52,C
446,240004649,MK02,78.87,B+
447,240001298,MK03,83.91,B
448,240000656,MK01,94.26,C
449,240003424,MK06,63.59,B
450,240000932,MK03,70.41,C
451,240002691,MK06,95.54,A
452,240002551,MK01,82.65,A
453,240003633,MK05,93.53,B
454,240003432,MK01,87.56,B
455,240002894,MK01,80.55,A
456,240003001,MK01,66.12,A
457,240003213,MK01,65.18,C
458,240002273,MK10,85.97,C
459,240002818,MK02,75.94,C
460,240003379,MK10,65.96,A
461,240001445,MK06,87.65,B+
462,240003036,MK09,87.65,A
463,240000873,MK07,70.96,B+
464,240004378,MK01,75.29,B+
465,240002736,MK09,97.55,B+
466,240002745,MK03,89.2,B+
467,240003207,MK02,93.12,A
468,240000300,MK02,62.8,B
469,240004154,MK08,87.67,C
470,240002394,MK09,68.42,B+
471,240004445,MK06,73.98,B
472,240001067,MK06,84.8,C
473,240003122,MK04,79.93,C
474,240000005,MK06,75.2,C
475,240004734,MK03,90.65,A
476,240000206,MK09,75.54,C
477,240000980,MK03,61.43,A
478,240004898,MK01,74.3,C
479,240000489,MK02,98.91,B
480,240000590,MK06,90.34,B+
481,240004925,MK02,96.11,C
482,240001125,MK03,71.01,B
483,240003590,MK10,69.54,C
484,240001184,MK01,81.99,B+
485,240000030,MK02,84.39,B
486,240003259,MK03,66.93,C
487,240001966,MK09,88.79,B+
488,240003363,MK08,86.5,B
489,240004941,MK10,77.41,A
490,240000141,MK08,96.51,C
491,240003260,MK09,87.52,C
492,240000450,MK01,67.34,A
493,240000082,MK03,70.9,B
494,240004992,MK07,62.83,B
495,240004455,MK01,63.79,A
496,240004089,MK06,90.76,C
497,240002342,MK04,93.33,B+
498,240002728,MK02,64.57,B+
499,240001342,MK08,91.98,A
500,240004959,MK10,99.65,B+
501,240003669,MK02,65.5,B
502,240001273,MK02,91.78,B
503,240000381,MK04,67.1,A
504,240000752,MK02,83.17,B
505,240000300,MK03,90.95,A
506,240000849,MK02,75.1,A
507,240002382,MK10,85.8,C
508,240004273,MK06,73.77,C
509,240000525,MK04,89.12,C
510,240003965,MK06,83.69,A
511,240004382,MK04,89.05,C
512,240000559,MK02,78.92,C
513,240002459,MK05,91.29,B+
514,240004169,MK01,96.61,B
515,240004312,MK03,74.94,A
516,240003067,MK10,64.27,B+
517,240000367,MK04,91.55,C
518,240004132,MK04,68.79,B
519,240001798,MK01,96.27,A
520,240001047,MK07,69.49,C
521,240000564,MK04,87.59,C
522,240003316,MK02,87.94,A
523,240002251,MK05,60.41,B+
524,240003044,MK03,70.33,A
525,240001209,MK07,91.98,B+
526,240003207,MK08,65.09,C
527,240001655,MK04,99.15,B+
528,240000193,MK03,94.42,B
529,240000324,MK06,71.83,B
530,240002964,MK04,75.84,C
531,240000490,MK07,62.63,C
532,240003136,MK01,78.91,B
533,240001485,MK04,74.79,C
534,240004860,MK01,65.32,A
535,240000764,MK05,98.1,A
536,240004334,MK01,64.68,A
537,240002295,MK08,75.52,C
538,240004830,MK02,92.15,A
539,240001546,MK01,92.8,C
540,240001542,MK07,80.37,B
541,240004476,MK02,80.25,B
542,240004893,MK06,87.63,B+
543,240002939,MK06,92.87,B
544,240001499,MK04,71.8,B
545,240000171,MK06,62.13,B
546,240003388,MK09,94.98,B
547,240001467,MK01,72.66,C
548,240001249,MK04,84.82,B+
549,240002755,MK10,78.84,C
550,240004806,MK06,99.16,B
551,240003922,MK05,60.66,A
552,240003284,MK04,92.31,B
553,240000189,MK06,82.91,A
554,240004937,MK01,74.67,B+
555,240002032,MK06,83.84,A
556,240003740,MK10,86.24,B
557,240003789,MK01,79.56,B
558,240001495,MK03,67.17,C
559,240002425,MK03,87.27,A
560,240000706,MK02,60.7,A
561,240000925,MK05,72.15,C
562,240000165,MK06,69.62,C
563,240000638,MK10,68.24,A
564,240004855,MK02,91.95,B
565,240003902,MK06,99.84,B
566,240003753,MK09,68.59,A
567,240001872,MK02,71.14,C
568,240001123,MK04,78.17,C
569,240002492,MK05,83.1,B+
570,240004882,MK08,71.03,B+
571,240002933,MK05,72.26,B
572,240004024,MK02,84.82,B+
573,240002740,MK09,91.71,A
574,240001410,MK02,83.77,B+
575,240001943,MK02,66.77,A
576,240000497,MK05,77.44,B
577,240001412,MK03,99.04,C
578,240002342,MK05,82.34,B
579,240002373,MK03,69.06,B+
580,240002928,MK09,71.24,A
581,240002706,MK02,70.88,B+
582,240004742,MK09,74.44,B+
583,240001826,MK01,74.77,B+
584,240001797,MK06,80.55,B
585,240001440,MK04,81.42,C
586,240002554,MK09,69.21,B
587,240003533,MK04,95.26,B
588,240001257,MK09,93.36,C
589,240001540,MK04,65.79,A
590,240000012,MK09,97.77,C
591,240004753,MK03,68.11,B
592,240000805,MK04,74.37,B+
593,240000238,MK08,70.47,A
594,240003730,MK07,81.96,C
595,240002337,MK06,96.5,B+
596,240003172,MK06,70.37,C
597,240002893,MK04,74.9,A
598,240002290,MK01,62.12,B+
599,240003774,MK08,61.32,A
600,240003156,MK05,96.29,A
601,240002761,MK01,92.61,B
602,240003659,MK01,65.7,B
603,240000443,MK09,69.37,B
604,240002600,MK01,91.33,A
605,240004428,MK07,82.56,C
606,240002161,MK07,93.52,B+
607,240003900,MK02,68.28,B
608,240000760,MK08,92.38,B
609,240003368,MK10,92.0,B
610,240002617,MK04,93.79,B+
611,240003759,MK07,66.26,A
612,240003225,MK06,60.87,B
613,240004565,MK09,86.25,B
614,240001821,MK04,71.15,B
615,240004059,MK09,72.71,B
616,240000756,MK04,68.39,C
617,240004030,MK09,61.18,B
618,240000152,MK02,61.95,B
619,240002107,MK08,67.71,C
620,240003244,MK06,90.39,C
621,240003484,MK06,65.67,B+
622,240002545,MK08,63.07,A
623,240000749,MK08,81.11,B
624,240001031,MK03,84.51,B+
625,240000127,MK08,77.0,B
626,240000707,MK08,72.6,C
627,240000423,MK06,65.79,B
628,240001620,MK02,61.91,C
629,240002770,MK07,98.85,C
630,240003565,MK09,85.5,A
631,240002395,MK01,92.98,B+
632,240002954,MK07,64.94,B
633,240000890,MK01,98.81,C
634,240003313,MK07,68.41,C
635,240003370,MK02,62.11,C
636,240004527,MK02,77.25,B
637,240003246,MK08,94.58,B
638,240001544,MK02,65.41,A
639,240004884,MK07,84.57,C
640,240000746,MK04,93.07,B
641,240001476,MK04,78.48,A
642,240001809,MK07,60.22,C
643,240001581,MK03,96.73,B
644,240003436,MK08,75.32,A
645,240001096,MK01,92.39,B
646,240002543,MK05,65.33,C
647,240001240,MK08,75.94,C
648,240004354,MK04,83.45,A
649,240001994,MK02,79.46,B+
650,240003374,MK08,76.88,B
651,240000894,MK03,82.5,B+
652,240001244,MK08,74.04,B+
653,240003935,MK01,82.97,A
654,240001268,MK09,76.11,A
655,240002242,MK08,89.36,B+
656,240001703,MK10,65.76,C
657,240004947,MK10,84.49,C
658,240002656,MK06,77.97,B
659,240002571,MK05,66.06,A
660,240000799,MK08,67.57,B
661,240002885,MK05,95.6,A
662,240000269,MK10,93.56,B
663,240003350,MK02,95.73,B
664,240002877,MK02,89.44,A
665,240001414,MK07,87.7,A
666,240004451,MK08,87.99,C
667,240002558,MK05,96.32,B
668,240003952,MK06,96.62,B+
669,240003291,MK06,98.74,B+
670,240000715,MK05,62.74,A
671,240000373,MK09,62.37,B+
672,240004551,MK06,94.21,B+
673,240001820,MK09,67.19,C
674,240004096,MK10,93.18,C
675,240002810,MK05,66.67,C
676,240001592,MK06,78.0,A
677,240003803,MK01,92.68,C
678,240002376,MK08,69.32,C
679,240002281,MK09,81.62,B+
680,240003846,MK02,69.19,C
681,240004155,MK10,73.68,A
682,240001373,MK07,66.52,B+
683,240001702,MK08,87.13,A
684,240001029,MK01,60.27,A
685,240002089,MK05,70.06,B+
686,240002030,MK01,88.96,B+
687,240000559,MK02,76.09,B
688,240004089,MK07,67.19,C
689,240004280,MK05,75.32,B
690,240001554,MK02,70.57,B
691,240001370,MK09,84.83,C
692,240003922,MK05,92.15,B+
693,240004916,MK10,88.48,B+
694,240003796,MK04,83.46,B
695,240004629,MK09,98.71,A
696,240001678,MK08,84.48,C
697,240000693,MK06,76.57,C
698,240003186,MK03,76.82,C
699,240004557,MK01,65.11,B
700,240004767,MK10,79.82,A
701,240002548,MK08,65.75,B+
702,240003132,MK07,68.41,B
703,240002165,MK07,92.98,B+
704,240001614,MK02,70.82,C
705,240000577,MK05,89.17,B
706,240003498,MK01,65.22,C
707,240001758,MK08,99.9,A
708,240003404,MK02,78.37,B
709,240002955,MK01,78.21,B+
710,240000420,MK08,95.08,B+
711,240002241,MK03,65.2,C
712,240000326,MK06,78.03,C
713,240002733,MK02,65.85,C
714,240002554,MK03,84.38,B+
715,240001207,MK06,96.96,B
716,240000659,MK08,72.11,B+
717,240001593,MK08,74.77,B+
718,240003222,MK05,72.26,C
719,240002578,MK04,97.48,B+
720,240002263,MK07,62.15,C
721,240000860,MK09,93.98,B
722,240003642,MK01,87.24,C
723,240003927,MK05,65.6,B
724,240000087,MK04,91.57,B+
725,240003099,MK07,91.4,C
726,240003929,MK06,61.82,C
727,240002831,MK07,86.47,B
728,240004461,MK08,60.45,C
729,240001213,MK02,80.61,B
730,240004376,MK01,71.68,A
731,240004242,MK09,88.17,B
732,240003346,MK03,78.85,B+
733,240003971,MK10,61.72,B
734,240002802,MK05,73.78,A
735,240004071,MK07,70.97,A
736,240002814,MK07,78.81,A
737,240004756,MK10,79.85,B+
738,240002818,MK10,63.85,B+
739,240000923,MK09,88.66,A
740,240002929,MK03,66.69,A
741,240003500,MK10,63.29,C
742,240002967,MK09,63.27,B
743,240000984,MK01,66.06,C
744,240003274,MK06,60.26,A
745,240001694,MK01,71.7,B
746,240002971,MK09,79.0,C
747,240001529,MK03,66.81,B+
748,240001235,MK04,96.7,B
749,240001272,MK06,98.38,A
750,240003585,MK01,80.31,B
751,240004697,MK07,72.53,C
752,240001733,MK08,90.74,C
753,240001631,MK06,81.28,B+
754,240000255,MK05,61.99,C
755,240001506,MK05,80.53,C
756,240001356,MK06,64.84,A
757,240004012,MK03,68.18,B+
758,240000249,MK01,76.3,B
759,240001343,MK06,89.77,A
760,240002467,MK08,69.19,B+
761,240003515,MK05,66.07,A
762,240001735,MK09,80.08,C
763,240000433,MK07,87.02,B
764,240002309,MK09,86.18,A
765,240001966,MK02,84.09,B
766,240000408,MK09,96.95,B+
767,240002491,MK07,83.53,A
768,240004599,MK04,76.46,B
769,240002184,MK03,78.3,A
770,240000780,MK10,99.11,C
771,240003823,MK07,97.09,B+
772,240001082,MK05,90.28,A
773,240004371,MK06,83.86,B+
774,240004805,MK10,60.62,C
775,240004332,MK08,98.7,C
776,240002867,MK06,79.68,C
777,240000787,MK10,74.81,B
778,240003328,MK08,61.02,B+
779,240002239,MK04,65.99,C
780,240004767,MK07,87.54,B
781,240000857,MK04,70.11,B
782,240002002,MK08,82.75,B
783,240001624,MK02,94.17,A
784,240000658,MK03,96.85,C
785,240004434,MK06,87.22,C
786,240001171,MK06,70.58,A
787,240001921,MK05,85.27,C
788,240002106,MK10,84.52,B
789,240004341,MK10,85.73,A
790,240001962,MK01,71.71,B+
791,240002369,MK04,78.64,C
792,240004329,MK08,94.78,B
793,240003933,MK08,71.82,A
794,240000764,MK01,96.38,A
795,240003725,MK01,76.06,A
796,240000636,MK08,98.32,B
797,240000535,MK09,71.28,B
798,240004370,MK08,95.71,B+
799,240002031,MK10,88.99,C
800,240003835,MK02,62.33,B+
801,240000229,MK09,95.31,B
802,240002474,MK01,76.23,A
803,240000364,MK09,75.15,B
804,240001286,MK04,97.98,A
805,240000109,MK09,91.94,B+
806,240003488,MK10,76.26,C
807,240003279,MK06,63.08,B+
808,240000383,MK07,83.59,B+
809,240000913,MK08,64.83,B
810,240000692,MK06,70.96,B
811,240001514,MK05,84.4,B
812,240000993,MK02,86.51,A
813,240004365,MK04,66.07,B
814,240004784,MK01,69.35,A
815,240001117,MK06,83.6,B
816,240001309,MK08,79.04,B
817,240000727,MK08,91.89,B
818,240003355,MK08,67.34,A
819,240000265,MK02,93.47,B+
820,240004615,MK01,81.79,B
821,240003276,MK03,67.94,B
822,240004578,MK02,81.3,B+
823,240000854,MK08,63.89,C
824,240004850,MK10,63.94,C
825,240002077,MK05,84.31,B+
826,240002804,MK08,96.5,B+
827,240002735,MK04,85.29,B
828,240002091,MK10,78.59,B
829,240004640,MK05,99.83,A
830,240003033,MK08,89.43,A
831,240003253,MK07,65.54,B+
832,240001955,MK09,76.33,B
833,240004566,MK02,90.07,B+
834,240001577,MK07,61.42,B+
835,240001076,MK05,89.11,B
836,240000348,MK04,63.52,C
837,240003166,MK10,80.74,A
838,240001693,MK02,77.15,A
839,240002934,MK01,92.0,B
840,240003520,MK08,86.25,B+
841,240001828,MK08,97.94,A
842,240003929,MK09,62.08,B
843,240003006,MK08,67.54,B
844,240004490,MK06,71.74,B
845,240002423,MK03,81.17,A
846,240002954,MK05,61.57,B+
847,240000758,MK02,85.26,B+
848,240000320,MK05,61.87,B
849,240002095,MK05,84.6,B+
850,240003015,MK07,64.45,B+
851,240000773,MK09,84.12,B
852,240001727,MK02,63.36,C
853,240004567,MK03,66.78,B
854,240000345,MK02,64.89,B
855,240003141,MK07,80.23,B
856,240003812,MK09,86.95,B
857,240001751,MK02,64.33,C
