id_presensi,nim,kode_matakuliah,tanggal,status_kehadiran
138,240003259,MK06,2026-05-07,Hadir
139,240004697,MK02,2026-05-07,Hadir
140,240003889,MK06,2026-05-07,Hadir
141,240000746,MK09,2026-05-07,Hadir
142,240000383,MK01,2026-05-07,Hadir
143,240004823,MK05,2026-05-07,Hadir
144,240004986,MK05,2026-05-07,Tidak Hadir
145,240001099,MK02,2026-05-07,Hadir
146,240001386,MK02,2026-05-07,Hadir
147,240000213,MK04,2026-05-07,Hadir
148,240001647,MK07,2026-05-07,Hadir
149,240001783,MK07,2026-05-07,Hadir
150,240001477,MK02,2026-05-07,Hadir
151,240003916,MK05,2026-05-07,Hadir
152,240004256,MK03,2026-05-07,Hadir
153,240001250,MK02,2026-05-07,Hadir
154,240004878,MK03,2026-05-07,Hadir
155,240004268,MK03,2026-05-07,Hadir
156,240001565,MK04,2026-05-07,Tidak Hadir
157,240004108,MK08,2026-05-07,Tidak Hadir
158,240004741,MK03,2026-05-07,Hadir
159,240003755,MK04,2026-05-07,Hadir
160,240004123,MK06,2026-05-07,Hadir
161,240000280,MK04,2026-05-07,Hadir
162,240002490,MK08,2026-05-07,Hadir
163,240001303,MK02,2026-05-07,Tidak Hadir
164,240001690,MK03,2026-05-07,Hadir
165,240002964,MK02,2026-05-07,Hadir
166,240004361,MK08,2026-05-07,Hadir
167,240003186,MK07,2026-05-07,Hadir
168,240004072,MK08,2026-05-07,Hadir
169,240000794,MK07,2026-05-07,Hadir
170,240002241,MK09,2026-05-07,Hadir
171,240004839,MK02,2026-05-07,Hadir
172,240004495,MK06,2026-05-07,Tidak Hadir
173,240001881,MK08,2026-05-07,Hadir
174,240004800,MK02,2026-05-07,Hadir
175,240004597,MK10,2026-05-07,Hadir
176,240000460,MK01,2026-05-07,Hadir
177,240000349,MK05,2026-05-07,Hadir
178,240002663,MK07,2026-05-07,Hadir
179,240002892,MK10,2026-05-07,Hadir
180,240004262,MK06,2026-05-07,Hadir
181,240004484,MK04,2026-05-07,Hadir
182,240004443,MK03,2026-05-07,Hadir
183,240003074,MK06,2026-05-07,Tidak Hadir
184,240003006,MK05,2026-05-07,Hadir
185,240001686,MK08,2026-05-07,Hadir
186,240000941,MK05,2026-05-07,Hadir
187,240003027,MK05,2026-05-07,Hadir
188,240004853,MK08,2026-05-07,Tidak Hadir
189,240004482,MK01,2026-05-07,Hadir
190,240001766,MK06,2026-05-07,Hadir
191,240002606,MK04,2026-05-07,Hadir
192,240004607,MK06,2026-05-07,Hadir
193,240004743,MK01,2026-05-07,Hadir
194,240000520,MK07,2026-05-07,Hadir
195,240001559,MK05,2026-05-07,Hadir
196,240001496,MK05,2026-05-07,Hadir
197,240001443,MK02,2026-05-07,Hadir
198,240004887,MK04,2026-05-07,Hadir
199,240002778,MK02,2026-05-07,Hadir
200,240000619,MK08,2026-05-07,Tidak Hadir
201,240002199,MK05,2026-05-07,Hadir
202,240003837,MK08,2026-05-07,Hadir
203,240001772,MK05,2026-05-07,Hadir
204,240002695,MK05,2026-05-07,Hadir
205,240004939,MK01,2026-05-07,Hadir
206,240003639,MK01,2026-05-07,Hadir
207,240002028,MK10,2026-05-07,Hadir
208,240003049,MK05,2026-05-07,Hadir
209,240002204,MK02,2026-05-07,Hadir
210,240004489,MK04,2026-05-07,Hadir
211,240003998,MK05,2026-05-07,Hadir
212,240003784,MK02,2026-05-07,Tidak Hadir
213,240000853,MK05,2026-05-07,Hadir
214,240001406,MK09,2026-05-07,Hadir
215,240003418,MK07,2026-05-07,Hadir
216,240003793,MK05,2026-05-07,Hadir
217,240002555,MK05,2026-05-07,Hadir
218,240001809,MK03,2026-05-07,Hadir
219,240002841,MK09,2026-05-07,Hadir
220,240000054,MK04,2026-05-07,Hadir
221,240004850,MK07,2026-05-07,Hadir
222,240003487,MK08,2026-05-07,Tidak Hadir
223,240003322,MK01,2026-05-07,Hadir
224,240002895,MK07,2026-05-07,Hadir
225,240003087,MK02,2026-05-07,Tidak Hadir
226,240001013,MK01,2026-05-07,Hadir
227,240001381,MK06,2026-05-07,Hadir
228,240004991,MK07,2026-05-07,Hadir
229,240000033,MK10,2026-05-07,Tidak Hadir
230,240001370,MK02,2026-05-07,Hadir
231,240002608,MK02,2026-05-07,Tidak Hadir
232,240004196,MK08,2026-05-07,Hadir
233,240002213,MK02,2026-05-07,Hadir
234,240001302,MK09,2026-05-07,Hadir
235,240003255,MK07,2026-05-07,Hadir
236,240003586,MK03,2026-05-07,Tidak Hadir
237,240000796,MK05,2026-05-07,Hadir
238,240001835,MK03,2026-05-07,Hadir
239,240000251,MK10,2026-05-07,Hadir
240,240003713,MK09,2026-05-07,Hadir
241,240004989,MK01,2026-05-07,Hadir
242,240004296,MK07,2026-05-07,Hadir
243,240001846,MK03,2026-05-07,Hadir
244,240002682,MK07,2026-05-07,Hadir
245,240000781,MK10,2026-05-07,Hadir
246,240000556,MK03,2026-05-07,Hadir
247,240002943,MK02,2026-05-07,Hadir
248,240000526,MK10,2026-05-07,Hadir
249,240004773,MK07,2026-05-07,Hadir
250,240001544,MK07,2026-05-07,Hadir
251,240003793,MK05,2026-05-07,Hadir
252,240002545,MK05,2026-05-07,Hadir
253,240001698,MK06,2026-05-07,Hadir
254,240003646,MK03,2026-05-07,Tidak Hadir
255,240000986,MK03,2026-05-07,Hadir
256,240000716,MK02,2026-05-07,Hadir
257,240002252,MK03,2026-05-07,Hadir
258,240001089,MK02,2026-05-07,Hadir
259,240004842,MK03,2026-05-07,Hadir
260,240003206,MK07,2026-05-07,Hadir
261,240003816,MK03,2026-05-07,Hadir
262,240004674,MK05,2026-05-07,Hadir
263,240004344,MK01,2026-05-07,Hadir
264,240002643,MK10,2026-05-07,Tidak Hadir
265,240001928,MK08,2026-05-07,Tidak Hadir
266,240002626,MK03,2026-05-07,Hadir
267,240002257,MK01,2026-05-07,Hadir
268,240002716,MK04,2026-05-07,Hadir
269,240003044,MK09,2026-05-07,Tidak Hadir
270,240001178,MK07,2026-05-07,Hadir
271,240003712,MK05,2026-05-07,Hadir
272,240001758,MK04,2026-05-07,Hadir
273,240004654,MK02,2026-05-07,Hadir
274,240002954,MK10,2026-05-07,Hadir
275,240003292,MK01,2026-05-07,Tidak Hadir
276,240001978,MK10,2026-05-07,Hadir
277,240004309,MK07,2026-05-07,Hadir
278,240004313,MK09,2026-05-07,Hadir
279,240003326,MK06,2026-05-07,Hadir
280,240004557,MK06,2026-05-07,Hadir
281,240001942,MK02,2026-05-07,Hadir
282,240001377,MK07,2026-05-07,Hadir
283,240004290,MK02,2026-05-07,Hadir
284,240001660,MK06,2026-05-07,Hadir
285,240004013,MK10,2026-05-07,Hadir
286,240003693,MK07,2026-05-07,Hadir
287,240003073,MK09,2026-05-07,Hadir
288,240000681,MK08,2026-05-07,Hadir
289,240004833,MK03,2026-05-07,Hadir
290,240004852,MK08,2026-05-07,Hadir
291,240002633,MK03,2026-05-07,Hadir
292,240001154,MK08,2026-05-07,Hadir
293,240001317,MK03,2026-05-07,Hadir
294,240003247,MK02,2026-05-07,Tidak Hadir
295,240000234,MK05,2026-05-07,Hadir
296,240000055,MK10,2026-05-07,Hadir
297,240002899,MK05,2026-05-07,Hadir
298,240003730,MK10,2026-05-07,Tidak Hadir
299,240001193,MK01,2026-05-07,Hadir
300,240001956,MK07,2026-05-07,Hadir
301,240003755,MK06,2026-05-07,Tidak Hadir
302,240003312,MK06,2026-05-07,Hadir
303,240004611,MK06,2026-05-07,Hadir
304,240003690,MK03,2026-05-07,Hadir
305,240004964,MK02,2026-05-07,Hadir
306,240000704,MK03,2026-05-07,Hadir
307,240001594,MK01,2026-05-07,Hadir
308,240000025,MK03,2026-05-07,Tidak Hadir
309,240000899,MK06,2026-05-07,Hadir
310,240003598,MK05,2026-05-07,Hadir
311,240000622,MK06,2026-05-07,Hadir
312,240004854,MK05,2026-05-07,Hadir
313,240000721,MK06,2026-05-07,Hadir
314,240003544,MK03,2026-05-07,Hadir
315,240004235,MK08,2026-05-07,Hadir
316,240003013,MK05,2026-05-07,Tidak Hadir
317,240000850,MK07,2026-05-07,Hadir
318,240000431,MK04,2026-05-07,Hadir
319,240003580,MK02,2026-05-07,Tidak Hadir
320,240003367,MK06,2026-05-07,Hadir
321,240000839,MK08,2026-05-07,Hadir
322,240002378,MK08,2026-05-07,Hadir
323,240000326,MK01,2026-05-07,Hadir
324,240004252,MK06,2026-05-07,Hadir
325,240001498,MK09,2026-05-07,Hadir
326,240000432,MK09,2026-05-07,Hadir
327,240002368,MK03,2026-05-07,Tidak Hadir
328,240003066,MK09,2026-05-07,Hadir
329,240002429,MK05,2026-05-07,Hadir
330,240002625,MK02,2026-05-07,Hadir
331,240004889,MK07,2026-05-07,Hadir
332,240000670,MK05,2026-05-07,Hadir
333,240004254,MK07,2026-05-07,Hadir
334,240003514,MK04,2026-05-07,Hadir
335,240003357,MK02,2026-05-07,Hadir
336,240004583,MK04,2026-05-07,Hadir
337,240003489,MK08,2026-05-07,Hadir
338,240002059,MK08,2026-05-07,Hadir
339,240003428,MK05,2026-05-07,Hadir
340,240004937,MK05,2026-05-07,Hadir
341,240002490,MK02,2026-05-07,Hadir
342,240001854,MK05,2026-05-07,Hadir
343,240002262,MK01,2026-05-07,Hadir
344,240004433,MK09,2026-05-07,Hadir
345,240000247,MK10,2026-05-07,Hadir
346,240003319,MK02,2026-05-07,Tidak Hadir
347,240001161,MK01,2026-05-07,Tidak Hadir
348,240004588,MK01,2026-05-07,Hadir
349,240000660,MK06,2026-05-07,Hadir
350,240001542,MK06,2026-05-07,Hadir
351,240004087,MK03,2026-05-07,Hadir
352,240002038,MK10,2026-05-07,Hadir
353,240004386,MK01,2026-05-07,Hadir
354,240004970,MK01,2026-05-07,Hadir
355,240002152,MK03,2026-05-07,Hadir
356,240000207,MK07,2026-05-07,Hadir
357,240001524,MK05,2026-05-07,Hadir
358,240000199,MK10,2026-05-07,Hadir
359,240003229,MK01,2026-05-07,Hadir
360,240002861,MK02,2026-05-07,Hadir
361,240003904,MK03,2026-05-07,Hadir
362,240000604,MK07,2026-05-07,Tidak Hadir
363,240000342,MK01,2026-05-07,Hadir
364,240002905,MK02,2026-05-07,Hadir
365,240000585,MK05,2026-05-07,Hadir
366,240004771,MK10,2026-05-07,Hadir
367,240004384,MK10,2026-05-07,Hadir
368,240001325,MK01,2026-05-07,Hadir
369,240000391,MK06,2026-05-07,Hadir
370,240002710,MK02,2026-05-07,Hadir
371,240004039,MK01,2026-05-07,Hadir
372,240003499,MK03,2026-05-07,Hadir
373,240001113,MK08,2026-05-07,Hadir
374,240000047,MK01,2026-05-07,Hadir
375,240003136,MK05,2026-05-07,Hadir
376,240004874,MK08,2026-05-07,Tidak Hadir
377,240001088,MK09,2026-05-07,Hadir
378,240000715,MK05,2026-05-07,Hadir
379,240003027,MK01,2026-05-07,Hadir
380,240003106,MK02,2026-05-07,Hadir
381,240001030,MK10,2026-05-07,Hadir
382,240000533,MK10,2026-05-07,Hadir
383,240003986,MK09,2026-05-07,Hadir
384,240000610,MK10,2026-05-07,Hadir
385,240003149,MK04,2026-05-07,Hadir
386,240004623,MK07,2026-05-07,Hadir
387,240004378,MK05,2026-05-07,Hadir
388,240002949,MK04,2026-05-07,Hadir
389,240002394,MK07,2026-05-07,Hadir
390,240004794,MK04,2026-05-07,Hadir
391,240002321,MK01,2026-05-07,Hadir
392,240002669,MK02,2026-05-07,Hadir
393,240002617,MK01,2026-05-07,Hadir
394,240004129,MK07,2026-05-07,Hadir
395,240001828,MK07,2026-05-07,Hadir
396,240002339,MK07,2026-05-07,Hadir
397,240004229,MK08,2026-05-07,Hadir
398,240002686,MK09,2026-05-07,Hadir
399,240000851,MK03,2026-05-07,Hadir
400,240001787,MK03,2026-05-07,Hadir
401,240000657,MK09,2026-05-07,Hadir
402,240004683,MK03,2026-05-07,Tidak Hadir
403,240004099,MK10,2026-05-07,Hadir
404,240003718,MK05,2026-05-07,Hadir
405,240002408,MK02,2026-05-07,Hadir
406,240004605,MK02,2026-05-07,Hadir
407,240000669,MK08,2026-05-07,Hadir
408,240000693,MK06,2026-05-07,Hadir
409,240004519,MK02,2026-05-07,Hadir
410,240003198,MK01,2026-05-07,Hadir
411,240003010,MK05,2026-05-07,Hadir
412,240004489,MK08,2026-05-07,Hadir
413,240003488,MK08,2026-05-07,Hadir
414,240002555,MK06,2026-05-07,Hadir
415,240002707,MK09,2026-05-07,Hadir
416,240003153,MK07,2026-05-07,Hadir
417,240004501,MK05,2026-05-07,Hadir
418,240003765,MK05,2026-05-07,Hadir
419,240004425,MK05,2026-05-07,Tidak Hadir
420,240004414,MK01,2026-05-07,Hadir
421,240002859,MK01,2026-05-07,Hadir
422,240003671,MK10,2026-05-07,Hadir
423,240003233,MK09,2026-05-07,Hadir
424,240002462,MK04,2026-05-07,Hadir
425,240003828,MK06,2026-05-07,Hadir
426,240003329,MK02,2026-05-07,Hadir
427,240002865,MK05,2026-05-07,Hadir
428,240004734,MK06,2026-05-07,Hadir
429,240002937,MK10,2026-05-07,Hadir
430,240004464,MK09,2026-05-07,Hadir
431,240003308,MK05,2026-05-07,Hadir
432,240001854,MK07,2026-05-07,Tidak Hadir
433,240003438,MK05,2026-05-07,Hadir
434,240003361,MK04,2026-05-07,Hadir
435,240003820,MK07,2026-05-07,Tidak Hadir
436,240003792,MK09,2026-05-07,Hadir
437,240000059,MK06,2026-05-07,Tidak Hadir
438,240002416,MK10,2026-05-07,Hadir
439,240004631,MK10,2026-05-07,Hadir
440,240001797,MK08,2026-05-07,Hadir
441,240003591,MK07,2026-05-07,Hadir
442,240002122,MK02,2026-05-07,Hadir
443,240000232,MK10,2026-05-07,Hadir
444,240002513,MK07,2026-05-07,Hadir
445,240000469,MK07,2026-05-07,Hadir
446,240000252,MK07,2026-05-07,Hadir
447,240000774,MK01,2026-05-07,Hadir
448,240002450,MK02,2026-05-07,Hadir
449,240002063,MK04,2026-05-07,Hadir
450,240002221,MK05,2026-05-07,Hadir
451,240004881,MK10,2026-05-07,Hadir
452,240002240,MK02,2026-05-07,Hadir
453,240004832,MK10,2026-05-07,Tidak Hadir
454,240003572,MK04,2026-05-07,Hadir
455,240000466,MK06,2026-05-07,Hadir
456,240001935,MK02,2026-05-07,Hadir
457,240004484,MK01,2026-05-07,Hadir
458,240001525,MK10,2026-05-07,Tidak Hadir
459,240000669,MK01,2026-05-07,Hadir
460,240000670,MK01,2026-05-07,Hadir
461,240002230,MK09,2026-05-07,Hadir
462,240002200,MK03,2026-05-07,Hadir
463,240004370,MK10,2026-05-07,Hadir
464,240004294,MK05,2026-05-07,Hadir
465,240003808,MK02,2026-05-07,Hadir
466,240000379,MK01,2026-05-07,Hadir
467,240001672,MK05,2026-05-07,Hadir
468,240000299,MK09,2026-05-07,Hadir
469,240003362,MK02,2026-05-07,Hadir
470,240000043,MK07,2026-05-07,Hadir
471,240001346,MK04,2026-05-07,Hadir
472,240001133,MK07,2026-05-07,Hadir
473,240000556,MK01,2026-05-07,Hadir
474,240000848,MK06,2026-05-07,Tidak Hadir
475,240003427,MK05,2026-05-07,Hadir
476,240004791,MK10,2026-05-07,Hadir
477,240002730,MK04,2026-05-07,Hadir
478,240000550,MK06,2026-05-07,Hadir
479,240004455,MK08,2026-05-07,Hadir
480,240004914,MK10,2026-05-07,Hadir
481,240002285,MK08,2026-05-07,Hadir
482,240000950,MK09,2026-05-07,Hadir
483,240003457,MK04,2026-05-07,Tidak Hadir
484,240004548,MK06,2026-05-07,Hadir
485,240002639,MK05,2026-05-07,Hadir
486,240003012,MK09,2026-05-07,Tidak Hadir
487,240002039,MK02,2026-05-07,Hadir
488,240002097,MK01,2026-05-07,Hadir
489,240002349,MK10,2026-05-07,Tidak Hadir
490,240004916,MK08,2026-05-07,Tidak Hadir
491,240002729,MK09,2026-05-07,Hadir
492,240001436,MK10,2026-05-07,Hadir
493,240000082,MK04,2026-05-07,Hadir
494,240002776,MK02,2026-05-07,Hadir
495,240003099,MK07,2026-05-07,Hadir
496,240002399,MK06,2026-05-07,Hadir
497,240000099,MK09,2026-05-07,Tidak Hadir
498,240004927,MK08,2026-05-07,Hadir
499,240002817,MK04,2026-05-07,Hadir
500,240001694,MK03,2026-05-07,Hadir
501,240003474,MK01,2026-05-07,Hadir
502,240001463,MK08,2026-05-07,Hadir
503,240000766,MK08,2026-05-07,Hadir
504,240000631,MK10,2026-05-07,Hadir
505,240001503,MK04,2026-05-07,Hadir
506,240004764,MK04,2026-05-07,Hadir
507,240000097,MK01,2026-05-07,Hadir
508,240000439,MK05,2026-05-07,Tidak Hadir
509,240001914,MK01,2026-05-07,Hadir
510,240001151,MK08,2026-05-07,Tidak Hadir
511,240004447,MK03,2026-05-07,Hadir
512,240001500,MK01,2026-05-07,Hadir
513,240000178,MK03,2026-05-07,Tidak Hadir
514,240002274,MK03,2026-05-07,Hadir
515,240003077,MK01,2026-05-07,Hadir
516,240001101,MK02,2026-05-07,Hadir
517,240001205,MK01,2026-05-07,Hadir
518,240000065,MK10,2026-05-07,Hadir
519,240004314,MK10,2026-05-07,Hadir
520,240002207,MK10,2026-05-07,Tidak Hadir
521,240001096,MK09,2026-05-07,Hadir
522,240001279,MK08,2026-05-07,Hadir
523,240000636,MK04,2026-05-07,Hadir
524,240004111,MK04,2026-05-07,Hadir
525,240000117,MK08,2026-05-07,Hadir
526,240002055,MK07,2026-05-07,Hadir
527,240002866,MK02,2026-05-07,Hadir
528,240003338,MK01,2026-05-07,Hadir
529,240003809,MK06,2026-05-07,Hadir
530,240003670,MK10,2026-05-07,Hadir
531,240000571,MK08,2026-05-07,Hadir
532,240001191,MK01,2026-05-07,Hadir
533,240004248,MK01,2026-05-07,Hadir
534,240004421,MK06,2026-05-07,Hadir
535,240003280,MK01,2026-05-07,Hadir
536,240000450,MK01,2026-05-07,Hadir
537,240003118,MK07,2026-05-07,Hadir
538,240001739,MK10,2026-05-07,Hadir
539,240001426,MK09,2026-05-07,Hadir
540,240003492,MK06,2026-05-07,Hadir
541,240003796,MK09,2026-05-07,Hadir
542,240001406,MK04,2026-05-07,Hadir
543,240004214,MK03,2026-05-07,Hadir
544,240001408,MK10,2026-05-07,Hadir
545,240001205,MK01,2026-05-07,Hadir
546,240003023,MK04,2026-05-07,Hadir
547,240000268,MK04,2026-05-07,Hadir
548,240001927,MK08,2026-05-07,Hadir
549,240004569,MK06,2026-05-07,Hadir
550,240003481,MK07,2026-05-07,Hadir
551,240001954,MK09,2026-05-07,Hadir
552,240004366,MK08,2026-05-07,Hadir
553,240000320,MK10,2026-05-07,Hadir
554,240001591,MK05,2026-05-07,Hadir
555,240003775,MK07,2026-05-07,Hadir
556,240003196,MK04,2026-05-07,Hadir
557,240002654,MK10,2026-05-07,Hadir
558,240003621,MK07,2026-05-07,Hadir
559,240000503,MK09,2026-05-07,Hadir
560,240003544,MK08,2026-05-07,Hadir
561,240002879,MK01,2026-05-07,Hadir
562,240001302,MK04,2026-05-07,Hadir
563,240004474,MK03,2026-05-07,Hadir
564,240002993,MK09,2026-05-07,Hadir
565,240000356,MK08,2026-05-07,Hadir
566,240000366,MK02,2026-05-07,Hadir
567,240003776,MK09,2026-05-07,Hadir
568,240002410,MK07,2026-05-07,Hadir
569,240002697,MK10,2026-05-07,Hadir
570,240003461,MK08,2026-05-07,Hadir
571,240003013,MK07,2026-05-07,Hadir
572,240003050,MK03,2026-05-07,Hadir
573,240003776,MK09,2026-05-07,Hadir
574,240002134,MK04,2026-05-07,Hadir
575,240001677,MK05,2026-05-07,Hadir
576,240002023,MK07,2026-05-07,Hadir
577,240003348,MK08,2026-05-07,Hadir
578,240002117,MK07,2026-05-07,Tidak Hadir
579,240001651,MK02,2026-05-07,Hadir
580,240004024,MK10,2026-05-07,Hadir
581,240000657,MK01,2026-05-07,Hadir
582,240003457,MK06,2026-05-07,Tidak Hadir
583,240004562,MK03,2026-05-07,Hadir
584,240004863,MK03,2026-05-07,Hadir
585,240002139,MK03,2026-05-07,Hadir
586,240001579,MK09,2026-05-07,Hadir
587,240001698,MK03,2026-05-07,Tidak Hadir
588,240004728,MK03,2026-05-07,Hadir
589,240001671,MK02,2026-05-07,Hadir
590,240000495,MK10,2026-05-07,Hadir
591,240000841,MK10,2026-05-07,Hadir
592,240003027,MK09,2026-05-07,Hadir
593,240003648,MK03,2026-05-07,Tidak Hadir
594,240001867,MK10,2026-05-07,Hadir
595,240001385,MK01,2026-05-07,Hadir
596,240004326,MK06,2026-05-07,Hadir
597,240003117,MK01,2026-05-07,Hadir
598,240003635,MK08,2026-05-07,Hadir
599,240001859,MK03,2026-05-07,Hadir
600,240002654,MK02,2026-05-07,Hadir
601,240004152,MK06,2026-05-07,Hadir
602,240002502,MK06,2026-05-07,Hadir
603,240001875,MK09,2026-05-07,Hadir
604,240003634,MK07,2026-05-07,Hadir
605,240004706,MK07,2026-05-07,Hadir
606,240003873,MK02,2026-05-07,Hadir
607,240004813,MK05,2026-05-07,Hadir
608,240003787,MK09,2026-05-07,Hadir
609,240003829,MK01,2026-05-07,Hadir
610,240000550,MK03,2026-05-07,Hadir
611,240002994,MK03,2026-05-07,Hadir
612,240000049,MK04,2026-05-07,Hadir
613,240004289,MK09,2026-05-07,Hadir
614,240002463,MK07,2026-05-07,Hadir
615,240000116,MK04,2026-05-07,Hadir
616,240003494,MK01,2026-05-07,Hadir
617,240001860,MK05,2026-05-07,Tidak Hadir
618,240001473,MK10,2026-05-07,Hadir
619,240004601,MK01,2026-05-07,Tidak Hadir
620,240001651,MK07,2026-05-07,Hadir
621,240001245,MK05,2026-05-07,Hadir
